year,state,dem_votes,gop_votes,total_votes
2016,AK,116454,163387,318608
2016,AL,729547,1318255,2123372
2016,AR,380494,684872,1130676
2016,AZ,1161167,1252401,2573165
2016,CA,8753792,4483814,14181604
2016,CO,1338870,1202484,2780247
2016,CT,897572,673215,1644920
2016,DC,282830,12723,311268
2016,DE,235603,185127,443814
2016,FL,4504975,4617886,9420039
2016,GA,1877963,2089104,4114732
2016,HI,266891,128847,428937
2016,IA,653669,800983,1566031
2016,ID,189765,409055,690255
2016,IL,3090729,2146015,5536424
2016,IN,1033126,1557286,2734958
2016,KS,427005,671018,1184402
2016,KY,628854,1202971,1924149
2016,LA,780154,1178638,2029032
2016,MA,1995196,1090893,3325046
2016,MD,1677928,943169,2781446
2016,ME,357735,335593,747927
2016,MI,2268839,2279543,4799284
2016,MN,1367716,1322951,2944813
2016,MO,1071068,1594511,2808605
2016,MS,485131,700714,1209357
2016,MT,177709,279240,497147
2016,NC,2189316,2362631,4741564
2016,ND,93758,216794,344360
2016,NE,284494,495961,844227
2016,NH,348526,345790,744296
2016,NJ,2148278,1601933,3874046
2016,NM,385234,319667,798319
2016,NV,539260,512058,1125385
2016,NY,4556118,2819533,7721442
2016,OH,2394164,2841005,5496487
2016,OK,420375,949136,1452992
2016,OR,1002106,782403,2001336
2016,PA,2926441,2970733,6165478
2016,RI,252525,180543,464144
2016,SC,855373,1155389,2103027
2016,SD,117458,227721,370093
2016,TN,870695,1522925,2508027
2016,TX,3877868,4685047,8969226
2016,UT,310676,515231,1131430
2016,VA,1981473,1769443,3984631
2016,VT,178573,95369,315067
2016,WA,1742718,1221747,3317019
2016,WI,1382536,1405284,2976150
2016,WV,188794,489371,714423
2016,WY,55973,174419,255849
2020,AK,153778,189951,359530
2020,AL,849624,1441170,2323282
2020,AR,423932,760647,1219069
2020,AZ,1672143,1661686,3387326
2020,CA,11110639,6006518,17501380
2020,CO,1804352,1364607,3256980
2020,CT,1080831,714717,1823857
2020,DC,317323,18586,344356
2020,DE,296268,200603,504346
2020,FL,5297045,5668731,11067456
2020,GA,2473633,2461854,4999960
2020,HI,366130,196864,574469
2020,IA,759061,897672,1690871
2020,ID,287021,554119,867934
2020,IL,3471915,2446891,6033744
2020,IN,1242498,1729857,3033210
2020,KS,570323,771406,1373986
2020,KY,772474,1326646,2136768
2020,LA,856034,1255776,2148062
2020,MA,2382202,1167202,3631402
2020,MD,1985023,976414,3037030
2020,ME,435072,360737,819461
2020,MI,2804040,2649852,5539302
2020,MN,1717077,1484065,3277171
2020,MO,1253014,1718736,3025962
2020,MS,539398,756764,1313759
2020,MT,244786,343602,603674
2020,NC,2684292,2758775,5524804
2020,ND,115042,235751,362024
2020,NE,374583,556846,956383
2020,NH,424937,365660,806205
2020,NJ,2608400,1883313,4549457
2020,NM,501614,401894,923965
2020,NV,703486,669890,1405376
2020,NY,5244886,3251997,8616861
2020,OH,2679165,3154834,5922202
2020,OK,503890,1020280,1560699
2020,OR,1340383,958448,2374321
2020,PA,3458229,3377674,6936976
2020,RI,307486,199922,517757
2020,SC,1091541,1385103,2513329
2020,SD,150471,261043,422609
2020,TN,1143711,1852475,3053851
2020,TX,5259126,5890347,11315056
2020,UT,560282,865140,1488289
2020,VA,2413568,1962430,4460524
2020,VT,242820,112704,367428
2020,WA,2369612,1584651,4087631
2020,WI,1630866,1610184,3298041
2020,WV,235984,545382,794731
2020,WY,73491,193559,276765
2024,AL,772412,1462616,2265090
2024,AK,140026,184458,338177
2024,AZ,1582860,1770242,3390161
2024,AR,396905,759241,1182676
2024,CA,9276179,6081697,15865475
2024,CO,1728159,1377441,3192745
2024,CT,992053,736918,1759010
2024,DE,289758,214351,512912
2024,DC,294185,21076,325869
2024,FL,4683038,6110125,10893752
2024,GA,2548017,2663117,5250905
2024,HI,313044,193661,516701
2024,ID,274972,605246,905057
2024,IL,3062863,2449079,5633310
2024,IN,1163603,1720347,2936677
2024,IA,707278,927019,1663506
2024,KS,544853,758802,1327591
2024,KY,704043,1337494,2074530
2024,LA,766870,1208505,2006975
2024,ME,435652,377977,831375
2024,MD,1902577,1035550,3038334
2024,MA,2126518,1251303,3473668
2024,MI,2736533,2816636,5664186
2024,MN,1656979,1519032,3253920
2024,MS,466668,747744,1228008
2024,MO,1200599,1751986,2995327
2024,MT,231906,352079,602990
2024,NE,369995,564816,952182
2024,NV,705197,751205,1484840
2024,NH,418488,395523,826189
2024,NJ,2220713,1968215,4272725
2024,NM,478802,423391,923403
2024,NY,4619195,3578899,8262495
2024,NC,2715375,2898423,5699141
2024,ND,112327,246505,368155
2024,OH,2533699,3180116,5767788
2024,OK,499599,1036213,1566173
2024,OR,1240600,919480,2244493
2024,PA,3423042,3543308,7058732
2024,RI,285156,214406,513386
2024,SC,1028452,1483747,2548140
2024,SD,146859,272081,428922
2024,TN,1056265,1966865,3063942
2024,TX,4835250,6393597,11388674
2024,UT,562566,883818,1488494
2024,VT,235791,119395,369422
2024,VA,2333778,2074097,4503288
2024,WA,2245849,1530923,3924243
2024,WV,214309,533556,762582
2024,WI,1668229,1697626,3422918
2024,WY,69527,192633,269048
